record id,sex,smoker,day,time,size,total_bill,tip,tip_rate
52,Female,No,Sun,Dinner,2,10.29,2.6,25.26724975704568
53,Female,No,Sun,Dinner,4,34.81,5.2,14.938236139040505
54,Male,No,Sun,Dinner,2,9.94,1.56,15.694164989939638
55,Male,No,Sun,Dinner,4,25.56,4.34,16.97965571205008
56,Male,No,Sun,Dinner,2,19.49,3.51,18.009235505387377
57,Male,Yes,Sat,Dinner,4,38.01,3.0,7.892659826361484
58,Female,No,Sat,Dinner,2,26.41,1.5,5.679666792881484
59,Male,Yes,Sat,Dinner,2,11.24,1.76,15.658362989323843
60,Male,No,Sat,Dinner,4,48.27,6.73,13.942407292314066
61,Male,Yes,Sat,Dinner,2,20.29,3.21,15.82060128141942
62,Male,Yes,Sat,Dinner,2,13.81,2.0,14.482259232440258
63,Male,Yes,Sat,Dinner,2,11.02,1.98,17.96733212341198
64,Male,Yes,Sat,Dinner,4,18.29,3.76,20.55768179332969
65,Male,No,Sat,Dinner,3,17.59,2.64,15.008527572484368
66,Male,No,Sat,Dinner,3,20.08,3.15,15.687250996015937
67,Female,No,Sat,Dinner,2,16.45,2.47,15.01519756838906
68,Female,Yes,Sat,Dinner,1,3.07,1.0,32.57328990228013
69,Male,No,Sat,Dinner,2,20.23,2.01,9.935739001482945
70,Male,Yes,Sat,Dinner,2,15.01,2.09,13.924050632911392
71,Male,No,Sat,Dinner,2,12.02,1.97,16.38935108153078
72,Female,No,Sat,Dinner,3,17.07,3.0,17.57469244288225
73,Female,Yes,Sat,Dinner,2,26.86,3.14,11.69024571854058
74,Female,Yes,Sat,Dinner,2,25.28,5.0,19.77848101265823
75,Female,No,Sat,Dinner,2,14.73,2.2,14.935505770536322
76,Male,No,Sat,Dinner,2,10.51,1.25,11.893434823977165
77,Male,Yes,Sat,Dinner,2,17.92,3.08,17.1875
78,Male,No,Thur,Lunch,4,27.2,4.0,14.705882352941178
79,Male,No,Thur,Lunch,2,22.76,3.0,13.181019332161686
80,Male,No,Thur,Lunch,2,17.29,2.71,15.6737998843262
81,Male,Yes,Thur,Lunch,2,19.44,3.0,15.432098765432098
82,Male,No,Thur,Lunch,2,16.66,3.4,20.408163265306122
83,Female,No,Thur,Lunch,1,10.07,1.83,18.17279046673287
84,Male,Yes,Thur,Lunch,2,32.68,5.0,15.299877600979192
85,Male,No,Thur,Lunch,2,15.98,2.03,12.703379224030037
86,Female,No,Thur,Lunch,4,34.83,5.17,14.843525696238874
87,Male,No,Thur,Lunch,2,13.03,2.0,15.349194167306218
88,Male,No,Thur,Lunch,2,18.28,4.0,21.88183807439825
89,Male,No,Thur,Lunch,2,24.71,5.85,23.674625657628486
90,Male,No,Thur,Lunch,2,21.16,3.0,14.177693761814744
91,Male,Yes,Fri,Dinner,2,28.97,3.0,10.355540214014498
92,Male,No,Fri,Dinner,2,22.49,3.5,15.562472209871055
93,Female,Yes,Fri,Dinner,2,5.75,1.0,17.391304347826086
94,Female,Yes,Fri,Dinner,2,16.32,4.3,26.348039215686274
95,Female,No,Fri,Dinner,2,22.75,3.25,14.285714285714285
96,Male,Yes,Fri,Dinner,4,40.17,4.73,11.77495643515061
97,Male,Yes,Fri,Dinner,2,27.28,4.0,14.662756598240467
98,Male,Yes,Fri,Dinner,2,12.03,1.5,12.468827930174564
99,Male,Yes,Fri,Dinner,2,21.01,3.0,14.27891480247501
100,Male,No,Fri,Dinner,2,12.46,1.5,12.03852327447833
101,Female,Yes,Fri,Dinner,2,11.35,2.5,22.026431718061676
102,Female,Yes,Fri,Dinner,2,15.38,3.0,19.505851755526656
103,Female,Yes,Sat,Dinner,3,44.3,2.5,5.643340857787811
104,Female,Yes,Sat,Dinner,2,22.42,3.48,15.521855486173058
105,Female,No,Sat,Dinner,2,20.92,4.08,19.50286806883365
106,Male,Yes,Sat,Dinner,2,15.36,1.64,10.677083333333332
107,Male,Yes,Sat,Dinner,2,20.49,4.06,19.814543679843826
108,Male,Yes,Sat,Dinner,2,25.21,4.29,17.017056723522412
109,Male,No,Sat,Dinner,2,18.24,3.76,20.614035087719298
110,Female,Yes,Sat,Dinner,2,14.31,4.0,27.952480782669458
111,Male,No,Sat,Dinner,2,14.0,3.0,21.428571428571427
112,Female,No,Sat,Dinner,1,7.25,1.0,13.793103448275861
113,Male,No,Sun,Dinner,3,38.07,4.0,10.506960861570791
114,Male,No,Sun,Dinner,2,23.95,2.55,10.647181628392484
115,Female,No,Sun,Dinner,3,25.71,4.0,15.558148580318942
116,Female,No,Sun,Dinner,2,17.31,3.5,20.219526285384173
117,Male,No,Sun,Dinner,4,29.93,5.07,16.93952555963916
118,Female,No,Thur,Lunch,2,10.65,1.5,14.084507042253522
119,Female,No,Thur,Lunch,2,12.43,1.8,14.481094127111827
120,Female,No,Thur,Lunch,4,24.08,2.92,12.12624584717608
121,Male,No,Thur,Lunch,2,11.69,2.31,19.760479041916167
122,Female,No,Thur,Lunch,2,13.42,1.68,12.518628912071533
123,Male,No,Thur,Lunch,2,14.26,2.5,17.53155680224404
124,Male,No,Thur,Lunch,2,15.95,2.0,12.539184952978058
125,Female,No,Thur,Lunch,2,12.48,2.52,20.192307692307693
126,Female,No,Thur,Lunch,6,29.8,4.2,14.093959731543624
127,Male,No,Thur,Lunch,2,8.52,1.48,17.370892018779344
128,Female,No,Thur,Lunch,2,14.52,2.0,13.774104683195592
129,Female,No,Thur,Lunch,2,11.38,2.0,17.57469244288225
130,Male,No,Thur,Lunch,3,22.82,2.18,9.55302366345311
131,Male,No,Thur,Lunch,2,19.08,1.5,7.8616352201257875
132,Female,No,Thur,Lunch,2,20.27,2.83,13.961519486926493
133,Female,No,Thur,Lunch,2,11.17,1.5,13.428827215756492
134,Female,No,Thur,Lunch,2,12.26,2.0,16.31321370309951
135,Female,No,Thur,Lunch,2,18.26,3.25,17.798466593647316
136,Female,No,Thur,Lunch,2,8.51,1.25,14.688601645123384
137,Female,No,Thur,Lunch,2,10.33,2.0,19.36108422071636
138,Female,No,Thur,Lunch,2,14.15,2.0,14.13427561837456
139,Male,Yes,Thur,Lunch,2,16.0,2.0,12.5
140,Female,No,Thur,Lunch,2,13.16,2.75,20.89665653495441
141,Female,No,Thur,Lunch,2,17.47,3.5,20.034344590726963
142,Male,No,Thur,Lunch,6,34.3,6.7,19.533527696793005
143,Male,No,Thur,Lunch,5,41.19,5.0,12.138868657441128
144,Female,No,Thur,Lunch,6,27.05,5.0,18.484288354898336
145,Female,No,Thur,Lunch,2,16.43,2.3,13.998782714546559
146,Female,No,Thur,Lunch,2,8.35,1.5,17.964071856287426
147,Female,No,Thur,Lunch,3,18.64,1.36,7.296137339055794
148,Female,No,Thur,Lunch,2,11.87,1.63,13.732097725358045
149,Male,No,Thur,Lunch,2,9.78,1.73,17.68916155419223
150,Male,No,Thur,Lunch,2,7.51,2.0,26.63115845539281
151,Male,No,Sun,Dinner,2,14.07,2.5,17.768301350390903
152,Male,No,Sun,Dinner,2,13.13,2.0,15.232292460015232
153,Male,No,Sun,Dinner,3,17.26,2.74,15.874855156431053
154,Male,No,Sun,Dinner,4,24.55,2.0,8.146639511201629
155,Male,No,Sun,Dinner,4,19.77,2.0,10.116337885685383
156,Female,No,Sun,Dinner,5,29.85,5.14,17.219430485762143
157,Male,No,Sun,Dinner,6,48.17,5.0,10.379904504878555
158,Female,No,Sun,Dinner,4,25.0,3.75,15.0
159,Female,No,Sun,Dinner,2,13.39,2.61,19.49215832710978
160,Male,No,Sun,Dinner,4,16.49,2.0,12.128562765312312
161,Male,No,Sun,Dinner,4,21.5,3.5,16.27906976744186
162,Male,No,Sun,Dinner,2,12.66,2.5,19.747235387045812
163,Female,No,Sun,Dinner,3,16.21,2.0,12.338062924120912
164,Male,No,Sun,Dinner,2,13.81,2.0,14.482259232440258
165,Female,Yes,Sun,Dinner,2,17.51,3.0,17.133066818960593
166,Male,No,Sun,Dinner,3,24.52,3.48,14.192495921696574
167,Male,No,Sun,Dinner,2,20.76,2.24,10.789980732177264
168,Male,No,Sun,Dinner,4,31.71,4.5,14.191106906338694
169,Female,Yes,Sat,Dinner,2,10.59,1.61,15.203021718602455
170,Female,Yes,Sat,Dinner,2,10.63,2.0,18.814675446848543
171,Male,Yes,Sat,Dinner,3,50.81,10.0,19.681165124975397
172,Male,Yes,Sat,Dinner,2,15.81,3.16,19.987349778621127
173,Male,Yes,Sun,Dinner,2,7.25,5.15,71.0344827586207
174,Male,Yes,Sun,Dinner,2,31.85,3.18,9.98430141287284
175,Male,Yes,Sun,Dinner,2,16.82,4.0,23.781212841854934
176,Male,Yes,Sun,Dinner,2,32.9,3.11,9.45288753799392
177,Male,Yes,Sun,Dinner,2,17.89,2.0,11.179429849077696
178,Male,Yes,Sun,Dinner,2,14.48,2.0,13.812154696132598
179,Female,Yes,Sun,Dinner,2,9.6,4.0,41.66666666666667
180,Male,Yes,Sun,Dinner,2,34.63,3.55,10.2512272596015
181,Male,Yes,Sun,Dinner,4,34.65,3.68,10.620490620490623
182,Male,Yes,Sun,Dinner,2,23.33,5.65,24.21774539219889
183,Male,Yes,Sun,Dinner,3,45.35,3.5,7.717750826901875
184,Male,Yes,Sun,Dinner,4,23.17,6.5,28.05351747949935
185,Male,Yes,Sun,Dinner,2,40.55,3.0,7.398273736128237
186,Male,No,Sun,Dinner,5,20.69,5.0,24.166263895601737
187,Female,Yes,Sun,Dinner,3,20.9,3.5,16.74641148325359
188,Male,Yes,Sun,Dinner,5,30.46,2.0,6.5659881812212735
189,Female,Yes,Sun,Dinner,3,18.15,3.5,19.28374655647383
190,Male,Yes,Sun,Dinner,3,23.1,4.0,17.316017316017316
191,Male,Yes,Sun,Dinner,2,15.69,1.5,9.560229445506693
192,Female,Yes,Thur,Lunch,2,19.81,4.19,21.150933871781934
193,Male,Yes,Thur,Lunch,2,28.44,2.56,9.0014064697609
194,Male,Yes,Thur,Lunch,2,15.48,2.02,13.049095607235142
195,Male,Yes,Thur,Lunch,2,16.58,4.0,24.12545235223161
196,Male,No,Thur,Lunch,2,7.56,1.44,19.047619047619047
197,Male,Yes,Thur,Lunch,2,10.34,2.0,19.342359767891683
198,Female,Yes,Thur,Lunch,4,43.11,5.0,11.59823706796567
199,Female,Yes,Thur,Lunch,2,13.0,2.0,15.384615384615385
200,Male,Yes,Thur,Lunch,2,13.51,2.0,14.803849000740193
201,Male,Yes,Thur,Lunch,3,18.71,4.0,21.378941742383752
202,Female,Yes,Thur,Lunch,2,12.74,2.01,15.777080062794347
203,Female,Yes,Thur,Lunch,2,13.0,2.0,15.384615384615385
204,Female,Yes,Thur,Lunch,2,16.4,2.5,15.243902439024392
205,Male,Yes,Thur,Lunch,4,20.53,4.0,19.48368241597662
206,Female,Yes,Thur,Lunch,3,16.47,3.23,19.611414693381906
207,Male,Yes,Sat,Dinner,3,26.59,3.41,12.82437006393381
208,Male,Yes,Sat,Dinner,4,38.73,3.0,7.74593338497289
209,Male,Yes,Sat,Dinner,2,24.27,2.03,8.364235681911826
210,Female,Yes,Sat,Dinner,2,12.76,2.23,17.476489028213166
211,Male,Yes,Sat,Dinner,3,30.06,2.0,6.653359946773121
212,Male,Yes,Sat,Dinner,4,25.89,5.16,19.930475086906142
213,Male,No,Sat,Dinner,4,48.33,9.0,18.6219739292365
214,Female,Yes,Sat,Dinner,2,13.27,2.5,18.839487565938207
215,Female,Yes,Sat,Dinner,3,28.17,6.5,23.074192403265883
216,Female,Yes,Sat,Dinner,2,12.9,1.1,8.527131782945736
217,Male,Yes,Sat,Dinner,5,28.15,3.0,10.657193605683837
218,Male,Yes,Sat,Dinner,2,11.59,1.5,12.94219154443486
219,Male,Yes,Sat,Dinner,2,7.74,1.44,18.6046511627907
220,Female,Yes,Sat,Dinner,4,30.14,3.09,10.252156602521566
221,Male,Yes,Fri,Lunch,2,12.16,2.2,18.092105263157894
222,Female,Yes,Fri,Lunch,2,13.42,3.48,25.93144560357675
223,Male,Yes,Fri,Lunch,1,8.58,1.92,22.377622377622377
224,Female,No,Fri,Lunch,3,15.98,3.0,18.773466833541928
225,Male,Yes,Fri,Lunch,2,13.42,1.58,11.773472429210134
226,Female,Yes,Fri,Lunch,2,16.27,2.5,15.365703749231715
227,Female,Yes,Fri,Lunch,2,10.09,2.0,19.821605550049554
228,Male,No,Sat,Dinner,4,20.45,3.0,14.66992665036675
229,Male,No,Sat,Dinner,2,13.28,2.72,20.481927710843376
230,Female,Yes,Sat,Dinner,2,22.12,2.88,13.019891500904157
231,Male,Yes,Sat,Dinner,4,24.01,2.0,8.329862557267804
232,Male,Yes,Sat,Dinner,3,15.69,3.0,19.120458891013385
233,Male,No,Sat,Dinner,2,11.61,3.39,29.198966408268735
234,Male,No,Sat,Dinner,2,10.77,1.47,13.649025069637883
235,Male,Yes,Sat,Dinner,2,15.53,3.0,19.31745009658725
236,Male,No,Sat,Dinner,2,10.07,1.25,12.413108242303872
237,Male,Yes,Sat,Dinner,2,12.6,1.0,7.936507936507936
238,Male,Yes,Sat,Dinner,2,32.83,1.17,3.563813585135547
239,Female,No,Sat,Dinner,3,35.83,4.67,13.033770583310075
240,Male,No,Sat,Dinner,3,29.03,5.92,20.39269720978298
241,Female,Yes,Sat,Dinner,2,27.18,2.0,7.358351729212656
242,Male,Yes,Sat,Dinner,2,22.67,2.0,8.822232024702249
243,Male,No,Sat,Dinner,2,17.82,1.75,9.820426487093153
244,Female,No,Thur,Dinner,2,18.78,3.0,15.974440894568689
